"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","extracellular matrix organization","22/416","339/18986",0.0648967551622419,2.96185046516905,5.45515732071439,6.31748140674783e-06,0.00915372879315317,0.00823605595140462,"FMOD/PHLDB2/VTN/LOXL1/COL17A1/FBLN5/COL4A3/VIT/ADAMTS4/COL6A1/ADAMTS12/APLP1/IL6/MMP12/COL14A1/MMP19/MFAP4/LAMA2/GAS6/HPN/SPINT1/TNXB",22
"GO:0043062","extracellular structure organization","22/416","340/18986",0.0647058823529412,2.95313914027149,5.43908462585045,6.62037890743049e-06,0.00915372879315317,0.00823605595140462,"FMOD/PHLDB2/VTN/LOXL1/COL17A1/FBLN5/COL4A3/VIT/ADAMTS4/COL6A1/ADAMTS12/APLP1/IL6/MMP12/COL14A1/MMP19/MFAP4/LAMA2/GAS6/HPN/SPINT1/TNXB",22
"GO:0045229","external encapsulating structure organization","22/416","341/18986",0.0645161290322581,2.94447890818859,5.42307045289593,6.9363946399241e-06,0.00915372879315317,0.00823605595140462,"FMOD/PHLDB2/VTN/LOXL1/COL17A1/FBLN5/COL4A3/VIT/ADAMTS4/COL6A1/ADAMTS12/APLP1/IL6/MMP12/COL14A1/MMP19/MFAP4/LAMA2/GAS6/HPN/SPINT1/TNXB",22
"GO:0050673","epithelial cell proliferation","26/416","482/18986",0.0539419087136929,2.461877593361,4.86572693917537,2.50002156222873e-05,0.024642075967543,0.0221716768121045,"SPARC/CCN3/TNFAIP3/CDKN1C/COL4A3/CCL5/TGFA/ECM1/IL6/EGF/CDKN1A/MMP12/EAF2/DACH1/CLDN1/SEMA5A/APELA/ANG/CCR3/IGFBP5/EPGN/JCAD/BMP5/ESR1/HPN/APOE",26
"GO:0050900","leukocyte migration","23/416","404/18986",0.0569306930693069,2.59828398705255,4.86009118107937,3.20518634552173e-05,0.024642075967543,0.0221716768121045,"CCN3/SIRPA/ITGA1/CCL5/IL34/EPS8/GDF15/ECM1/IL6/VCAM1/IL1R1/SERPINE1/PECAM1/FUT4/TMEM102/S100A9/PLCB1/CCL28/GAS6/DOCK8/BMP5/CD177/BDKRB1",23
"GO:0045123","cellular extravasation","9/416","75/18986",0.12,5.47673076923077,5.81407159278579,3.73459095239348e-05,0.024642075967543,0.0221716768121045,"SIRPA/ITGA1/VCAM1/IL1R1/PECAM1/FUT4/PLCB1/CCL28/CD177",9
"GO:0002685","regulation of leukocyte migration","16/416","236/18986",0.0677966101694915,3.09419817470665,4.84528309211079,6.89544476849027e-05,0.0388671400674807,0.0349706603178248,"CCN3/CCL5/IL34/GDF15/ECM1/IL6/IL1R1/SERPINE1/FUT4/TMEM102/PLCB1/CCL28/GAS6/DOCK8/BMP5/BDKRB1",16
"GO:0019233","sensory perception of pain","9/416","83/18986",0.108433734939759,4.9488531047266,5.3962327294076,8.37855967170575e-05,0.0388671400674807,0.0349706603178248,"MC1R/CCN3/BACE1/RETREG1/SPX/AQP1/ZFHX2/PHF24/SCN1A",9
"GO:0050679","positive regulation of epithelial cell proliferation","15/416","216/18986",0.0694444444444444,3.16940438034188,4.79933721951814,8.83567215476955e-05,0.0388671400674807,0.0349706603178248,"TNFAIP3/CCL5/TGFA/ECM1/EGF/MMP12/CLDN1/SEMA5A/APELA/ANG/CCR3/EPGN/JCAD/BMP5/HPN",15
"GO:0043410","positive regulation of MAPK cascade","24/416","472/18986",0.0508474576271186,2.32064863102999,4.34864713952161,0.000127302557612088,0.0442205435945247,0.0397873783980196,"CD24/GPNMB/CSPG4/ITGA1/TGFA/IL34/GDF15/C1QTNF1/AKAP12/IL6/EGF/ADRA2B/DKK1/APELA/PELI2/MARCO/ALOX12B/EPGN/PLCB1/GAS6/JCAD/BIRC7/FGF22/APOE",24
"GO:0071347","cellular response to interleukin-1","9/416","88/18986",0.102272727272727,4.66766826923077,5.16142327537785,0.000132291029983437,0.0442205435945247,0.0397873783980196,"SIRPA/CCL5/ADAMTS12/AKAP12/IL6/IL1R1/INHBB/IL1RN/PLCB1",9
"GO:0003018","vascular process in circulatory system","17/416","276/18986",0.0615942028985507,2.8111238851728,4.53640499081482,0.000134035494603258,0.0442205435945247,0.0397873783980196,"ABCB1/ITGA1/BDKRB2/SLC16A2/SLC15A2/SLC1A1/AKAP12/HTR1D/HRH1/AVPR2/GJA5/SLC7A8/ADRA2B/SLC6A17/CDH5/SLC4A3/APOE",17
"GO:0030100","regulation of endocytosis","18/416","307/18986",0.0586319218241042,2.67592708594337,4.43091593849419,0.00015922007629563,0.0484886370811078,0.0436275901363897,"VTN/C3/SIRPA/CFP/SYT7/MYLK/SCAMP5/EGF/BTBD9/SERPINE1/DKK1/APELA/C4B/CD14/GAS6/CD177/MCTP1/APOE",18
"GO:0071674","mononuclear cell migration","15/416","231/18986",0.0649350649350649,2.9635989010989,4.49413640888207,0.000185788878486716,0.049814172026126,0.0448202385334974,"CCN3/SIRPA/CCL5/IL34/EPS8/ECM1/IL6/SERPINE1/PECAM1/FUT4/TMEM102/PLCB1/GAS6/DOCK8/BMP5",15
"GO:0035633","maintenance of blood-brain barrier","6/416","39/18986",0.153846153846154,7.02144970414201,5.6339002484101,0.000188737706590525,0.049814172026126,0.0448202385334974,"SLC1A1/IL6/CLDN1/PECAM1/CDH5/LAMA2",6
"GO:1903522","regulation of blood circulation","16/416","267/18986",0.0599250936329588,2.73494670123884,4.27313349106521,0.000285649308372548,0.0645793832451961,0.058105218729276,"CACNA1H/GNAO1/BDKRB2/S100A1/SLC1A1/SPX/HRH1/HCN4/AVPR2/GJA5/ADRA2B/APELA/TRPC1/SCN4B/SLC4A3/FXYD1",16
"GO:0007160","cell-matrix adhesion","15/416","241/18986",0.0622406639004149,2.84062799233961,4.30405523000049,0.000293616796770278,0.0645793832451961,0.058105218729276,"PHLDB2/VTN/ITGA1/COL17A1/FBLN5/CORO2B/ADAMTS12/SORBS1/ITGB4/MMP12/VCAM1/SERPINE1/FN1/CCL28/TNXB",15
"GO:0007599","hemostasis","15/416","241/18986",0.0622406639004149,2.84062799233961,4.30405523000049,0.000293616796770278,0.0645793832451961,0.058105218729276,"VTN/EPHB2/C1QTNF1/IL6/GP6/ENTPD2/AVPR2/SERPINE1/ADRA2B/HNF4A/NFE2/DGKG/TSPAN8/GAS6/APOE",15
"GO:0042060","wound healing","22/416","444/18986",0.0495495495495495,2.26141285516286,4.02546878658363,0.000344861999169151,0.0652913477296326,0.0587458078773419,"PHLDB2/VTN/TNFAIP3/SYT7/MYLK/EPHB2/C1QTNF1/IL6/CDKN1A/GP6/ENTPD2/MMP12/CLDN1/SERPINE1/ADRA2B/HNF4A/AQP1/DGKG/FN1/TSPAN8/GAS6/APOE",22
"GO:0042886","amide transport","18/416","328/18986",0.0548780487804878,2.50460248592871,4.11407464037301,0.000356547233129928,0.0652913477296326,0.0587458078773419,"ABCB1/GNAO1/CCN3/SYT7/SLC16A2/CCL5/SLC15A2/RFX3/FOLR1/GNAZ/IL6/INHBB/IL1RN/HNF4A/AQP1/FOLR3/PLCB1/CPE",18
"GO:0046942","carboxylic acid transport","19/416","357/18986",0.0532212885154062,2.42898890325361,4.07956828802852,0.000361596681882249,0.0652913477296326,0.0587458078773419,"ABCB1/ACSL1/FABP3/BDKRB2/SLC16A2/FOLR1/SLC1A1/SLC16A9/SPX/SLC16A4/CLN8/SLC7A8/SLC6A17/ABCC6/LRRC8B/SV2A/FOLR3/APOE/FABP6",19
"GO:0015849","organic acid transport","19/416","358/18986",0.053072625698324,2.42220401804899,4.06599007462718,0.000374330958059178,0.0652913477296326,0.0587458078773419,"ABCB1/ACSL1/FABP3/BDKRB2/SLC16A2/FOLR1/SLC1A1/SLC16A9/SPX/SLC16A4/CLN8/SLC7A8/SLC6A17/ABCC6/LRRC8B/SV2A/FOLR3/APOE/FABP6",19
"GO:0003094","glomerular filtration","5/416","29/18986",0.172413793103448,7.86886604774536,5.54045274653285,0.000379313209846312,0.0652913477296326,0.0587458078773419,"TMEM63C/CORO2B/GJA5/AQP1/GAS6",5
"GO:0060047","heart contraction","15/416","253/18986",0.0592885375494071,2.70589464882943,4.08841351336763,0.000490624539896697,0.0809326063937926,0.0728190106583518,"CACNA1H/GNAO1/GSN/SCN8A/S100A1/SLC1A1/SPX/HCN4/GJA5/APELA/TRPC1/SCN4B/SLC4A3/SCN1A/FXYD1",15
"GO:0006959","humoral immune response","17/416","310/18986",0.0548387096774194,2.5028070719603,3.99289747092247,0.000520074786013505,0.0823590431130986,0.0741024452997769,"C3/C1S/CFP/A2M/CD83/CCL5/IL6/CFB/CFI/S100A9/C4B/ANG/CCL28/PI3/HPX/FCMR/RNASE4",17
"GO:0097205","renal filtration","5/416","32/18986",0.15625,7.13115985576923,5.19533079137288,0.000609441059081227,0.0871391052086282,0.0784033001491599,"TMEM63C/CORO2B/GJA5/AQP1/GAS6",5
"GO:0006956","complement activation","7/416","67/18986",0.104477611940299,4.76829793340987,4.62465733461705,0.000646397510515808,0.0871391052086282,0.0784033001491599,"C3/C1S/CFP/A2M/CFB/CFI/C4B",7
"GO:0008037","cell recognition","11/416","156/18986",0.0705128205128205,3.21816444773176,4.16367567811366,0.000665308864404831,0.0871391052086282,0.0784033001491599,"CFP/EPHB2/FOLR1/SEMA5A/ASTL/PECAM1/C4B/EPHB3/FOLR3/DOCK8/NCAM2",11
