"gene","importance","model"
"ENSG00000165548",100,"Random Forest"
"ENSG00000008056",93.4782608695652,"Random Forest"
"ENSG00000185479",82.6086956521739,"Random Forest"
"ENSG00000293642",75,"Random Forest"
"ENSG00000163395",71.7391304347826,"Random Forest"
"ENSG00000280571",66.304347826087,"Random Forest"
"ENSG00000002933",66.304347826087,"Random Forest"
"ENSG00000143107",66.304347826087,"Random Forest"
"ENSG00000022355",66.304347826087,"Random Forest"
"ENSG00000120948",64.1304347826087,"Random Forest"
"ENSG00000179772",61.9565217391304,"Random Forest"
"ENSG00000101938",60.8695652173913,"Random Forest"
"ENSG00000189064",60.8695652173913,"Random Forest"
"ENSG00000137558",56.5217391304348,"Random Forest"
"ENSG00000173530",56.5217391304348,"Random Forest"
"ENSG00000198520",56.5217391304348,"Random Forest"
"ENSG00000107249",55.4347826086957,"Random Forest"
"ENSG00000188959",55.4347826086956,"Random Forest"
"ENSG00000122176",53.2608695652174,"Random Forest"
"ENSG00000152582",52.1739130434783,"Random Forest"
"ENSG00000164175",52.1739130434783,"Random Forest"
"ENSG00000274286",46.7391304347826,"Random Forest"
"ENSG00000224389",45.6521739130435,"Random Forest"
"ENSG00000163220",45.6521739130435,"Random Forest"
"ENSG00000166313",44.5652173913043,"Random Forest"
"ENSG00000188886",43.4782608695652,"Random Forest"
"ENSG00000219529",42.3913043478261,"Random Forest"
"ENSG00000186847",41.304347826087,"Random Forest"
"ENSG00000285901",41.304347826087,"Random Forest"
"ENSG00000272822",41.304347826087,"Random Forest"
"ENSG00000255860",40.2173913043478,"Random Forest"
"ENSG00000122223",39.1304347826087,"Random Forest"
"ENSG00000204866",39.1304347826087,"Random Forest"
"ENSG00000136244",39.1304347826087,"Random Forest"
"ENSG00000168143",39.1304347826087,"Random Forest"
"ENSG00000047662",38.0434782608696,"Random Forest"
"ENSG00000087258",38.0434782608696,"Random Forest"
"ENSG00000138759",38.0434782608696,"Random Forest"
"ENSG00000276600",36.9565217391304,"Random Forest"
"ENSG00000249141",36.9565217391304,"Random Forest"
"ENSG00000118971",36.9565217391304,"Random Forest"
"ENSG00000285238",36.9565217391304,"Random Forest"
"ENSG00000123119",35.8695652173913,"Random Forest"
"ENSG00000168671",34.7826086956522,"Random Forest"
"ENSG00000058866",33.695652173913,"Random Forest"
"ENSG00000166482",33.695652173913,"Random Forest"
"ENSG00000130477",33.695652173913,"Random Forest"
"ENSG00000015520",31.5217391304348,"Random Forest"
"ENSG00000186007",31.5217391304348,"Random Forest"
"ENSG00000127249",31.5217391304348,"Random Forest"
"ENSG00000133985",29.3478260869565,"Random Forest"
"ENSG00000122733",29.3478260869565,"Random Forest"
"ENSG00000288258",29.3478260869565,"Random Forest"
"ENSG00000137975",29.3478260869565,"Random Forest"
"ENSG00000283239",29.3478260869565,"Random Forest"
"ENSG00000243775",29.3478260869565,"Random Forest"
"ENSG00000047644",29.3478260869565,"Random Forest"
"ENSG00000133401",28.2608695652174,"Random Forest"
"ENSG00000110002",28.2608695652174,"Random Forest"
"ENSG00000181143",27.1739130434783,"Random Forest"
"ENSG00000126759",27.1739130434783,"Random Forest"
"ENSG00000151117",26.0869565217391,"Random Forest"
"ENSG00000196188",26.0869565217391,"Random Forest"
"ENSG00000183423",23.9130434782609,"Random Forest"
"ENSG00000170439",23.9130434782609,"Random Forest"
"ENSG00000173867",23.9130434782609,"Random Forest"
"ENSG00000162039",23.9130434782609,"Random Forest"
"ENSG00000177830",23.9130434782609,"Random Forest"
"ENSG00000243649",22.8260869565217,"Random Forest"
"ENSG00000044524",20.6521739130435,"Random Forest"
"ENSG00000166341",20.6521739130435,"Random Forest"
"ENSG00000162692",19.5652173913044,"Random Forest"
"ENSG00000103647",19.5652173913044,"Random Forest"
"ENSG00000116183",19.5652173913043,"Random Forest"
"ENSG00000121769",19.5652173913043,"Random Forest"
"ENSG00000168734",18.4782608695652,"Random Forest"
"ENSG00000113140",17.3913043478261,"Random Forest"
"ENSG00000134548",16.304347826087,"Random Forest"
"ENSG00000169432",16.304347826087,"Random Forest"
"ENSG00000169085",15.2173913043478,"Random Forest"
"ENSG00000154822",15.2173913043478,"Random Forest"
"ENSG00000138622",15.2173913043478,"Random Forest"
"ENSG00000116299",14.1304347826087,"Random Forest"
"ENSG00000144935",10.8695652173913,"Random Forest"
"ENSG00000186081",10.8695652173913,"Random Forest"
"ENSG00000280893",10.8695652173913,"Random Forest"
"ENSG00000244115",9.78260869565217,"Random Forest"
"ENSG00000136689",8.69565217391304,"Random Forest"
"ENSG00000106565",8.69565217391304,"Random Forest"
"ENSG00000134545",8.69565217391304,"Random Forest"
"ENSG00000110203",8.69565217391304,"Random Forest"
"ENSG00000271329",6.52173913043478,"Random Forest"
"ENSG00000067057",6.52173913043478,"Random Forest"
"ENSG00000111885",6.52173913043478,"Random Forest"
"ENSG00000056558",6.52173913043478,"Random Forest"
"ENSG00000136869",5.43478260869565,"Random Forest"
"ENSG00000162777",5.43478260869565,"Random Forest"
"ENSG00000065618",2.17391304347826,"Random Forest"
"ENSG00000116774",1.08695652173913,"Random Forest"
"ENSG00000147100",0,"Random Forest"
