"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000067057",7088.64845086895,-4.02670588236806,0.065317988123571,-61.6477328534705,0,0
"ENSG00000095319",11454.2930857003,-2.28714629037626,0.0447527472922438,-51.1062767932608,0,0
"ENSG00000120948",7831.26525886776,-3.79387614143472,0.0571766368242183,-66.3536079097914,0,0
"ENSG00000123143",2925.54765000421,-2.61992023738468,0.0635001827300881,-41.2584676885236,0,0
"ENSG00000099901",11032.6474818832,-1.61750224611531,0.0533051590901475,-30.3441969543672,2.99685864048595e-202,5.23176597162835e-199
"ENSG00000171105",1679.68655969154,-2.32969311356341,0.077090153893647,-30.2203718100944,1.2791334182904e-200,1.98493081331597e-197
"ENSG00000150760",2068.07060313904,-1.77667309928243,0.0760221026877731,-23.3704809057876,8.53367153411656e-121,9.93177138712265e-118
"ENSG00000177830",1288.34885344673,-3.48867314532145,0.149564617231581,-23.3255245117213,2.44243405260238e-120,2.62392569066499e-117
"ENSG00000206075",1109.17023635328,-1.73522223718123,0.0862260804020989,-20.1240996817825,4.53942671043196e-90,3.72927255517016e-87
"ENSG00000058056",2317.16893608654,-1.62686099400386,0.0817511802064098,-19.9001529995808,4.05688445452386e-88,2.98202359430949e-85
"ENSG00000172572",10473.1402679715,-1.2299846532566,0.0618210519308967,-19.8958868353045,4.41724790788056e-88,3.084564214073e-85
"ENSG00000024422",4816.09352991565,-1.42752164219386,0.0742634245107258,-19.2224052634104,2.40365235556412e-82,1.5258822180822e-79
"ENSG00000122870",744.259546909097,-2.11017022143708,0.120967671133924,-17.444084040445,3.81790062254639e-68,1.8386482791201e-65
"ENSG00000003989",2162.95639132632,-1.36669067857668,0.0818719435798294,-16.6930283906609,1.47305403132966e-62,5.87790645758572e-60
"ENSG00000167889",1784.51277480476,-1.29212119255398,0.0784735948069605,-16.4656811725334,6.47298771998193e-61,2.37899332887546e-58
"ENSG00000204946",981.887462641601,-1.79189371932107,0.109721036679583,-16.3313597241514,5.90533987313862e-60,2.01156040654278e-57
"ENSG00000137558",1160.10747201079,-5.8118949506057,0.358322246906188,-16.2197435430999,3.6571857558089e-59,1.21610133965779e-56
"ENSG00000006534",3996.06623111526,-1.13079113863989,0.0697902745744519,-16.2027036794871,4.8257889573944e-59,1.56737136230163e-56
"ENSG00000142875",1690.05167189879,-1.26835284112703,0.0793035554027141,-15.993644101909,1.41505705865066e-57,4.41425926451495e-55
"ENSG00000178028",3468.47594404186,-1.06696622133154,0.0681810119397868,-15.6490229607302,3.3735914896588e-55,9.81574557178641e-53
"ENSG00000242498",1799.10622624876,-1.11106770979622,0.0729130445686603,-15.2382569726595,1.9705750222669e-52,5.29250976172683e-50
"ENSG00000117148",386.784565273915,-2.92917395005361,0.196624322049322,-14.8973123951514,3.4310554158046e-50,8.712385443114e-48
"ENSG00000076770",3315.14156225119,-1.42822803951329,0.0997134346322525,-14.3233260872083,1.56452480382138e-46,3.70341583223211e-44
"ENSG00000118965",795.064674642751,-1.52727142346907,0.109867817568004,-13.9009899102049,6.24713380194142e-44,1.34226877966021e-41
"ENSG00000185736",1282.84379651536,-1.19740760302561,0.0895629458676045,-13.3694530860527,9.12090098274411e-41,1.72138517736492e-38
"ENSG00000099331",2146.84435486576,-1.1667193740347,0.0880652800863628,-13.2483468273824,4.61251988477096e-40,8.4761121987778e-38
"ENSG00000103534",759.946439570125,-1.54772002483479,0.118025673908389,-13.113418238443,2.75878204149887e-39,4.81614374894665e-37
"ENSG00000128573",215.780925653153,-2.70348633197406,0.20813035081717,-12.9893901651514,1.40542449742775e-38,2.3366855394138e-36
"ENSG00000198707",1228.03072583781,-1.10853530041069,0.0860013047908237,-12.8897497905052,5.14103342719484e-38,8.3487991679306e-36
"ENSG00000175470",1467.48597177178,-1.12911061844247,0.0905556636908617,-12.4686913266631,1.10627941397243e-35,1.60940607245197e-33
"ENSG00000143028",270.342838180672,-1.90351943861703,0.158948136560001,-11.9757266729483,4.76246387206e-33,5.9921234628099e-31
"ENSG00000168397",1093.17898105928,-1.29738763247476,0.112898497119607,-11.4916289018469,1.4534513854342e-30,1.66384443024378e-28
"ENSG00000111885",113.271379548744,-3.83897039032102,0.33637235068192,-11.4128595365771,3.60673886215815e-30,4.02973719591205e-28
